class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
AllergyReaction,AllergyReaction,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
AllergySeverity,AllergySeverity,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
are,are,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Attributable,Attributable,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Auditable,Auditable,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseChangeableOpenmrsData,BaseChangeableOpenmrsData,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseChangeableOpenmrsMetadata,BaseChangeableOpenmrsMetadata,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
public,public,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseConceptMap,BaseConceptMap,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseCustomizableData,BaseCustomizableData,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseCustomizableMetadata,BaseCustomizableMetadata,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseDosingInstructions,BaseDosingInstructions,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseFormRecordableOpenmrsData,BaseFormRecordableOpenmrsData,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseOpenmrsData,BaseOpenmrsData,org.openmrs,True,0.8,"Contains model-typical methods: getCreator, setCreator, getDateCreated",model,"Annotations: Column, Column, Column, Column, Column; Methods: getCreator, setCreator, getDateCreated",rule-based + semantic analysis,65.45,2025-08-10T12:38:31.937355
BaseOpenmrsMetadata,BaseOpenmrsMetadata,org.openmrs,True,0.8,"Contains model-typical methods: getName, setName, getDescription",model,"Annotations: Column, Column, Column, Column, Column, Column, Column; Methods: getName, setName, getDescription",rule-based + semantic analysis,65.45,2025-08-10T12:38:31.937355
BaseOpenmrsObject,BaseOpenmrsObject,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
BaseReferenceRange,BaseReferenceRange,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
CareSetting,CareSetting,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
CareSettingType,CareSettingType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Changeable,Changeable,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
therefore,therefore,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
CodedOrFreeText,CodedOrFreeText,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
represents,represents,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Cohort,Cohort,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
CohortMembership,CohortMembership,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Concept,Concept,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
represents,represents,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptAnswer,ConceptAnswer,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptAttribute,ConceptAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptAttributeType,ConceptAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptClass,ConceptClass,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
of,of,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptComplex,ConceptComplex,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptDatatype,ConceptDatatype,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptDescription,ConceptDescription,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptMap,ConceptMap,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptMapType,ConceptMapType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptName,ConceptName,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptNameTag,ConceptNameTag,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptNumeric,ConceptNumeric,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptProposal,ConceptProposal,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptReferenceRange,ConceptReferenceRange,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptReferenceTerm,ConceptReferenceTerm,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptReferenceTermMap,ConceptReferenceTermMap,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
represents,represents,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptSearchResult,ConceptSearchResult,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptSet,ConceptSet,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptSource,ConceptSource,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptStateConversion,ConceptStateConversion,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConceptStopWord,ConceptStopWord,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
records,records,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Condition,Condition,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
with,with,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConditionClinicalStatus,ConditionClinicalStatus,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ConditionVerificationStatus,ConditionVerificationStatus,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Creatable,Creatable,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
defines,defines,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Diagnosis,Diagnosis,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DiagnosisAttribute,DiagnosisAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DiagnosisAttributeType,DiagnosisAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
should,should,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
that,that,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
should,should,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DosingInstructions,DosingInstructions,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
may,may,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Drug,Drug,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DrugIngredient,DrugIngredient,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DrugOrder,DrugOrder,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DrugReferenceMap,DrugReferenceMap,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Duration,Duration,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Encounter,Encounter,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
EncounterProvider,EncounterProvider,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
EncounterRole,EncounterRole,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
EncounterType,EncounterType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Field,Field,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FieldAnswer,FieldAnswer,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FieldType,FieldType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Form,Form,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FormField,FormField,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DefaultComparator,DefaultComparator,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FormRecordable,FormRecordable,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FormResource,FormResource,org.openmrs,True,0.9000000000000001,"Contains controller-typical methods: getId, getForm, getFormResourceId",controller,"Name matches controller pattern; Methods: getId, getForm, getFormResourceId",rule-based + semantic analysis,65.45,2025-08-10T12:38:31.937355
FreeTextDosingInstructions,FreeTextDosingInstructions,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
GlobalProperty,GlobalProperty,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ImplementationId,ImplementationId,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
extended,extended,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Location,Location,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
LocationAttribute,LocationAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
LocationAttributeType,LocationAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
LocationTag,LocationTag,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
records,records,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
MedicationDispense,MedicationDispense,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Obs,Obs,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Interpretation,Interpretation,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Status,Status,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ObsPostLoadEventListener,ObsPostLoadEventListener,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ObsReferenceRange,ObsReferenceRange,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OpenmrsData,OpenmrsData,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OpenmrsMetadata,OpenmrsMetadata,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
for,for,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OpenmrsObject,OpenmrsObject,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Order,Order,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Urgency,Urgency,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Action,Action,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
FulfillerStatus,FulfillerStatus,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
implementation,implementation,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
implementation,implementation,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderAttribute,OrderAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderAttributeType,OrderAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
is,is,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderFrequency,OrderFrequency,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderGroup,OrderGroup,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderGroupAttribute,OrderGroupAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderGroupAttributeType,OrderGroupAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderSet,OrderSet,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Operator,Operator,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderSetAttribute,OrderSetAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderSetAttributeType,OrderSetAttributeType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderSetMember,OrderSetMember,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
OrderType,OrderType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
name,name,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
to,to,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
as,as,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Patient,Patient,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PatientIdentifier,PatientIdentifier,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
DefaultComparator,DefaultComparator,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PatientIdentifierType,PatientIdentifierType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
LocationBehavior,LocationBehavior,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
UniquenessBehavior,UniquenessBehavior,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PatientProgram,PatientProgram,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
implementation,implementation,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PatientProgramAttribute,PatientProgramAttribute,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PatientState,PatientState,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
implementation,implementation,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
holds,holds,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Person,Person,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
is,is,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
is,is,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
