class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
NamedEntity,NamedEntity,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
public,public,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Person,Person,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Owner,Owner,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
OwnerController,OwnerController,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
can,can,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
OwnerRepository,OwnerRepository,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Pet,Pet,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetController,PetController,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetType,PetType,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetTypeFormatter,PetTypeFormatter,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetTypeRepository,PetTypeRepository,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetValidator,PetValidator,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Visit,Visit,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VisitController,VisitController,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
CacheConfiguration,CacheConfiguration,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
CrashController,CrashController,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
WebConfiguration,WebConfiguration,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
WelcomeController,WelcomeController,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Specialty,Specialty,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Vet,Vet,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VetController,VetController,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
can,can,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VetRepository,VetRepository,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
Vets,Vets,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
MySqlIntegrationTests,MySqlIntegrationTests,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
MysqlTestApplication,MysqlTestApplication,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetClinicIntegrationTests,PetClinicIntegrationTests,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PostgresIntegrationTests,PostgresIntegrationTests,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PropertiesLogger,PropertiesLogger,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
ValidatorTests,ValidatorTests,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
OwnerControllerTests,OwnerControllerTests,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetControllerTests,PetControllerTests,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
ProcessCreationFormHasErrors,ProcessCreationFormHasErrors,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
ProcessUpdateFormHasErrors,ProcessUpdateFormHasErrors,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetTypeFormatterTests,PetTypeFormatterTests,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetValidatorTests,PetValidatorTests,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
ValidateHasErrors,ValidateHasErrors,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VisitControllerTests,VisitControllerTests,org.springframework.samples.petclinic.owner,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.owner,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
ClinicServiceTests,ClinicServiceTests,org.springframework.samples.petclinic.service,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.service,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
mainly,mainly,org.springframework.samples.petclinic.service,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.service,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
EntityUtils,EntityUtils,org.springframework.samples.petclinic.service,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.service,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
with,with,org.springframework.samples.petclinic.service,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.service,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
to,to,org.springframework.samples.petclinic.service,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.service,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
CrashControllerIntegrationTests,CrashControllerIntegrationTests,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
TestConfiguration,TestConfiguration,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
CrashControllerTests,CrashControllerTests,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
I18nPropertiesSyncTest,I18nPropertiesSyncTest,org.springframework.samples.petclinic.system,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.system,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VetControllerTests,VetControllerTests,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
VetTests,VetTests,org.springframework.samples.petclinic.vet,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.vet,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
